postcode_sector,sector_easting,sector_northing,postcode_count
LS1 1,429365.8502994012,433545.04191616765,167
LS1 2,429546.85121107264,433556.9169550173,289
LS1 3,429611.3894736842,433904.2315789474,95
LS1 4,429499.6875,433390.4296875,256
LS1 5,429825.34241245134,433568.392996109,257
LS1 6,430139.515,433563.595,200
LS1 7,430320.6818181818,433432.2272727273,22
LS1 8,429837.3396226415,433717.3396226415,53
LS1 9,428964.35862068966,433497.56551724137,290
LS10 1,431181.73509933776,431951.15562913904,302
LS10 2,431172.0263157895,431087.83771929826,228
LS10 3,431024.45608108107,429299.51013513515,296
LS10 4,430523.66275659826,428016.9853372434,341
LS10 9,431024.0,430387.0,72
LS11 0,428312.9822485207,431007.11834319524,169
LS11 1,429723.8,432213.71428571426,105
LS11 5,429835.7375,431262.3625,320
LS11 6,429782.52582159627,431352.76525821595,213
LS11 7,429238.6105263158,430775.4736842105,190
LS11 8,428794.30111524166,430969.32342007436,269
LS11 9,429297.1692913386,432393.5905511811,254
LS12 1,427870.1913357401,433065.3357400722,277
LS12 2,427138.1978417266,433848.464028777,278
LS12 3,426393.48902821314,433472.11912225705,319
LS12 4,426823.48220064724,432513.8511326861,309
LS12 5,425319.00732600736,432086.7252747253,273
LS12 6,427221.15300546447,431686.8360655738,183
LS12 9,426688.1052631579,433016.8947368421,76
LS13 1,423000.8255319149,435944.42553191487,235
LS13 2,424825.52287581697,435297.7320261438,306
LS13 3,424089.6882129278,434929.4182509506,263
LS13 4,424279.54452054796,434072.1438356164,292
LS13 9,424786.0,435309.0,49
LS14 1,435039.8980582524,437119.4077669903,206
LS14 2,435974.5763888889,437401.5763888889,144
LS14 3,436922.3459119497,440152.6540880503,159
LS14 5,436560.8599033816,436217.4106280193,207
LS14 6,435117.5273775216,435543.8962536023,347
LS14 9,435852.14159292035,436906.09734513273,113
LS15 0,434953.0,433346.64215686277,204
LS15 4,438865.9692307692,436963.641025641,195
LS15 5,436767.0,435730.0,2
LS15 7,435703.5714285714,434315.46341463417,287
LS15 8,436833.1781609195,434855.591954023,348
LS15 9,436759.91095890413,433436.08219178085,146
LS16 0,425979.35714285716,438924.0714285714,112
LS16 5,426762.4466403162,437690.8814229249,253
LS16 6,425908.22641509434,438861.4748427673,318
LS16 7,425486.54785478546,439965.50495049503,303
LS16 8,427448.5505050505,439614.3888888889,198
LS16 9,425364.6848484849,442432.0424242424,165
LS17 0,427990.9896907217,447819.40206185565,97
LS17 1,430772.54545454547,439561.2727272727,165
LS17 5,429508.5,438805.90654205607,214
LS17 6,430682.10126582277,438695.57911392406,316
LS17 7,429954.51311953354,440056.8104956268,343
LS17 8,432253.6313131313,439794.9621212121,396
LS17 9,434469.3878504673,442913.92523364484,214
LS18 4,423484.34269662923,437847.5842696629,356
LS18 5,423486.3333333333,438930.81651376147,327
LS19 6,421113.73454545456,439662.1854545454,275
LS19 7,420673.9773299748,441049.4559193955,397
LS19 9,420387.5286624204,440830.0,157
LS2 3,429761.09523809527,434263.4285714286,21
LS2 7,430215.88612099644,433621.0889679715,281
LS2 8,429917.2614678899,433924.2293577982,218
LS2 9,429458.806763285,434567.0531400966,207
LS20 8,418506.47265625,441720.7890625,256
LS20 9,419415.8224299065,442206.0186915888,214
LS21 1,422308.5833333333,445287.9166666667,312
LS21 2,420218.01492537314,447845.9552238806,268
LS21 3,420037.88837209303,445116.38604651164,215
LS21 9,420343.4,445445.2,60
LS22 4,439494.42513368983,448728.36363636365,374
LS22 5,440054.8396226415,448008.17452830187,212
LS22 6,440142.8313253012,448427.4578313253,249
LS22 7,440339.72327044024,449189.43396226416,159
LS22 9,440524.26086956525,448405.652173913,92
LS23 6,442463.05044510384,444919.2284866469,337
LS23 7,442841.1902173913,447421.10326086957,184
LS24 0,448375.0,443524.0,29
LS24 8,449534.9090909091,444733.5984848485,132
LS24 9,448919.5643274854,440786.7573099415,342
LS25 0,426700.0,426600.0,1
LS25 1,440243.0480349345,432918.7903930131,229
LS25 2,441148.52403846156,433113.2403846154,208
LS25 3,443155.3647058823,436881.3058823529,85
LS25 4,443744.2876712329,432786.5205479452,73
LS25 5,449719.287037037,430393.1296296296,216
LS25 6,449969.2137096774,433357.1814516129,248
LS25 7,441365.6060606061,430623.95075757575,264
LS25 9,450702.0,432629.0,24
LS26 0,434447.81842818426,428663.9891598916,369
LS26 1,439221.0,432401.0,93
LS26 6,438100.0,430300.0,1
LS26 8,437299.608,429183.79733333335,375
LS26 9,439331.14666666667,427281.36666666664,150
LS27 0,425555.9446153846,427626.1323076923,325
LS27 1,426527.5189873418,427542.2784810127,79
LS27 7,425621.81058495824,429150.48746518104,359
LS27 8,427012.3871866295,427880.67688022286,359
LS27 9,426275.8992805755,428056.8489208633,278
LS28 0,422164.0487804878,433312.0243902439,82
LS28 5,421397.86666666664,435365.344,375
LS28 6,422249.5254237288,434444.7161016949,236
LS28 7,421759.5301204819,433587.0030120482,332
LS28 8,421546.9190283401,432947.2388663968,247
LS28 9,422865.1359223301,433026.3932038835,206
LS29 0,409176.237012987,449445.05844155845,308
LS29 1,411904.59349593497,447487.65040650405,123
LS29 6,416737.1886120996,444148.5516014235,281
LS29 7,415931.0035842294,446170.6487455197,279
LS29 8,412576.65476190473,447611.9583333333,336
LS29 9,411223.3177257525,447552.35785953177,299
LS3 1,428865.0990990991,434004.7792792793,222
LS3 2,428200.0,434200.0,1
LS4 2,427578.00324675324,434763.012987013,308
LS5 2,427019.0,435668.0,1
LS5 3,426270.6176470588,435836.35661764705,272
LS6 1,428586.52994011977,435080.5179640719,334
LS6 2,429166.5351681957,435675.2018348624,327
LS6 3,427707.32525951555,436028.23875432526,289
LS6 4,428653.27,437076.1766666667,300
LS6 9,430516.262295082,435072.1639344262,61
LS7 1,430454.64705882355,434642.95187165774,187
LS7 2,429621.19601328904,436202.19601328904,301
LS7 3,430470.0444444445,436103.98148148146,270
LS7 4,430885.5052631579,436045.00350877194,285
LS7 9,430516.2068965517,435072.0689655172,58
LS8 1,431918.68166089966,437587.0311418685,289
LS8 2,432686.1608187134,437106.1754385965,342
LS8 3,433045.5082644628,435666.45454545453,242
LS8 4,431818.2670157068,435921.4293193717,191
LS8 5,431681.57421875,435134.46875,256
LS8 9,431390.4166666667,434664.0416666667,96
LS88 1,428296.75,426810.45,20
LS88 4,428048.0,426640.0,9
LS88 8,432963.3333333333,430001.9090909091,33
LS9 0,432818.17669172934,432940.04887218046,266
LS9 1,433057.0833333333,434599.27777777775,36
LS9 6,432907.8120567376,434548.3546099291,282
LS9 7,431724.0662020906,434204.14285714284,287
LS9 8,431325.01953125,433180.49609375,256
LS9 9,432348.9518072289,433464.5240963855,166
LS98 1,430207.75,430080.25,4
LS98 3,430879.6666666667,431913.6666666667,3
LS98 4,429809.0,432843.0,1
LS99 2,432981.77192982455,430045.49122807017,57
LS99 3,420929.0,434553.0,1
LS99 8,432961.0,429999.0,1
